rpt_rec_num,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Interns and Residents (FTE),Total Days Title V,Total Days Title XVIII,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title V,Total Discharges Title XVIII,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Hospital Total Days Title V For Adults & Peds,Hospital Total Days Title XVIII For Adults & Peds,Hospital Total Days Title XIX For Adults & Peds,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds,Hospital Number of Beds For Adults & Peds,Hospital Total Bed Days Available For Adults & Peds,Hospital Total Discharges Title V For Adults & Peds,Hospital Total Discharges Title XVIII For Adults & Peds,Hospital Total Discharges Title XIX For Adults & Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor: Direct Patient Care,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Other Current Assets,Total Current Assets,Fixed Equipment,Major Movable Equipment,Total Assets,"Salaries, Wages, and Fees Payable",Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Liabilities and Fund Balances,DRG Amounts Other Than Outlier Payments,Disproportionate Share Adjustment,Allowable DSH Percentage,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Net Revenue from Stand-Alone CHIP
730295,320070,ACOMA CANONCITO LAGUNA HOSPITAL,130,SAN FIDEL,NM,87049,CIBOLA,99932.0,R,STH,1,7,10/1/2021,2/15/2022,148.0,,,,3.0,3.0,6.0,828.0,,,2.0,3.0,6.0,,,3.0,3.0,6.0,828.0,,,2.0,3.0,,,,,3247739.0,8752616.0,469733.0,7884478.0,36.0,67573.0,67609.0,1.0,,3247739.0,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,12000355.0,-12000355.0,,-12000355.0,,-12000355.0,,,
730319,713029,SHREVEPORT REHABILITATION HOSPITAL,1451 FERN CIRCLE,SHREVEPORT,LA,71105,CADDO PARISH,43340.0,U,RH,5,6,2/18/2022,3/31/2022,100.3,,,107.0,11.0,261.0,40.0,1680.0,,13.0,1.0,30.0,40.0,,107.0,11.0,261.0,40.0,1680.0,,13.0,1.0,30.0,,,,,960193.0,1316618.0,56806.0,2186649.0,1841062.0,,1841062.0,,,960193.0,,,,382506.0,,,1997074.0,,1240059.0,3486009.0,114283.0,145809.0,601972.0,,1668318.0,,1668318.0,2270290.0,1215719.0,3486009.0,,,,,,1841062.0,,1841062.0,1454478.0,386584.0,2276811.0,-1890227.0,1070.0,-1889157.0,,-1889157.0,,,
730531,60044,COLORADO PLAINS MEDICAL CENTER,1000 LINCOLN STREET,FORT MORGAN,CO,80701,MORGAN,99906.0,R,STH,1,4,11/1/2021,4/30/2022,87.57,,,515.0,329.0,1243.0,36.0,6516.0,,101.0,122.0,356.0,50.0,,482.0,188.0,1032.0,30.0,5430.0,,101.0,122.0,356.0,131058.0,1469260.0,447064.0,1311824.0,8222618.0,12867132.0,1066367.0,12233297.0,18426375.0,38935073.0,57361448.0,1336023.0,,8222618.0,875015.0,,,5466481.0,,,7855651.0,787024.0,3836403.0,24197112.0,1256571.0,-2312.0,2369533.0,-134965954.0,1175971.0,,-133336133.0,-130966600.0,155163712.0,24197112.0,,44626.0,0.188,,,18426375.0,43714267.0,62140642.0,41733302.0,20407340.0,21163408.0,-756068.0,1033164.0,277096.0,,277096.0,0.213267,1611484.0,
730689,30137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,PIMA,46060.0,U,STH,1,4,1/1/2022,6/29/2022,185.66,,,1093.0,194.0,2359.0,49.0,8820.0,,200.0,37.0,510.0,49.0,,647.0,175.0,1671.0,43.0,7740.0,,200.0,37.0,510.0,,316749.0,129678.0,129678.0,9044782.0,17927901.0,1583746.0,19682756.0,14481603.0,33595112.0,48076715.0,1353551.0,,9044782.0,943013.0,,,12602842.0,-10168758.0,,8373179.0,,9726708.0,69385517.0,1072983.0,477747.0,36223165.0,,,65005408.0,65005408.0,101228573.0,-31843056.0,69385517.0,,,,877315.0,,14481603.0,33595112.0,48076715.0,40483224.0,7593491.0,26972683.0,-19379192.0,5121943.0,-14257249.0,,-14257249.0,0.409403,2672075.0,
730690,33034,YUMA REHABILITATION HOSPITAL  AN AFF,901 WEST 24TH STREET,YUMA,AZ,85364,YUMA,49740.0,U,RH,5,5,1/1/2022,7/31/2022,105.62,,,5122.0,30.0,7123.0,51.0,10812.0,,439.0,2.0,599.0,51.0,,5122.0,30.0,7123.0,51.0,10812.0,,439.0,2.0,599.0,,,,,4490340.0,4737091.0,386030.0,8642876.0,16735923.0,1122.0,16737045.0,632468.0,,4490340.0,699224.0,,,5036272.0,-1383886.0,,6620443.0,,3693942.0,13238396.0,805270.0,1449170.0,2665617.0,,,5651597.0,5651597.0,8317214.0,4921182.0,13238396.0,,,,,,16735923.0,1122.0,16737045.0,4792660.0,11944385.0,9227431.0,2716954.0,33645.0,2750599.0,,2750599.0,,,
730822,183027,ENCOMPASS HEALTH REHABILITATION HOSP,201 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KENTON,17140.0,U,RH,5,4,1/1/2022,7/31/2022,149.4,,,4835.0,100.0,10020.0,71.0,11052.0,,381.0,10.0,780.0,71.0,,4835.0,100.0,10020.0,71.0,11052.0,,381.0,10.0,780.0,,,,,7458050.0,6761463.0,785806.0,13761620.0,23657984.0,2332.0,23660316.0,1619028.0,,7458050.0,496159.0,,,6211155.0,-1693280.0,,11099847.0,,3401168.0,28235996.0,1380494.0,-84442.0,2971000.0,,,1008270.0,1008270.0,3979270.0,24256726.0,28235996.0,,,,,,23660308.0,,23660308.0,8269098.0,15391210.0,14219513.0,1171697.0,1003924.0,2175621.0,,2175621.0,,,
730862,373303,THE CHILDRENS CENTER  INC,6800 NW 39TH EXPRESSWAY,BETHANY,OK,73008,,,,CH,9,2,11/10/2021,6/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730969,33025,ENCOMPASS HEALTH REHABILITATION HOSP,9630 E. SHEA BLVD.,SCOTTSDALE,AZ,85260,MARICOPA,38060.0,U,RH,5,4,1/1/2022,7/31/2022,115.7,,,3359.0,105.0,7455.0,60.0,12720.0,,285.0,13.0,592.0,60.0,,3359.0,105.0,7455.0,60.0,12720.0,,285.0,13.0,592.0,,,,,5397905.0,6351587.0,312285.0,10614854.0,17958812.0,,17958812.0,991220.0,,5397905.0,838168.0,,,4462226.0,-1112073.0,,5406524.0,,5639060.0,23061823.0,1007883.0,1674540.0,3139507.0,,,7012878.0,7012878.0,10152385.0,12909438.0,23061823.0,,,,,,17958801.0,,17958801.0,6672211.0,11286590.0,11749492.0,-462902.0,151038.0,-311864.0,,-311864.0,,,
731049,33029,ENCOMPASS HEALTH REHABILITATION HOSP,1921 WEST HOSPITAL DRIVE,TUCSON,AZ,85704,PIMA,46060.0,U,RH,5,4,1/1/2022,7/31/2022,114.91,,,3461.0,124.0,7546.0,60.0,12720.0,,287.0,9.0,578.0,60.0,,3461.0,124.0,7546.0,60.0,12720.0,,287.0,9.0,578.0,,,,,5061783.0,6056179.0,1441376.0,9624493.0,18281741.0,1023.0,18282764.0,607458.0,,5061783.0,347090.0,,,3595296.0,-1012681.0,,3748209.0,,3512933.0,22324666.0,825019.0,2145297.0,3363242.0,,,9410863.0,9410863.0,12774105.0,9550561.0,22324666.0,,,,,,18282754.0,,18282754.0,214191.0,18068563.0,11117962.0,6950601.0,159258.0,7109859.0,7100789.0,9070.0,,,
731192,453059,ENCOMPASS HEALTH REHABILITATION HOSP,18550 IH 45 SOUTH,SHENANDOAH,TX,77384,MONTGOMERY,26420.0,U,RH,5,4,1/1/2022,7/31/2022,108.97,,,3808.0,,6037.0,84.0,17808.0,,311.0,,477.0,84.0,,3808.0,,6037.0,84.0,17808.0,,311.0,,477.0,,,,,4993187.0,6329145.0,516377.0,9337947.0,13966994.0,,13966994.0,753772.0,,4993187.0,129715.0,,,3073189.0,-683797.0,,-1034320.0,,5587235.0,16515677.0,654099.0,2083322.0,3021863.0,,,7712323.0,7712323.0,10734186.0,5781491.0,16515677.0,,,,,,13966985.0,,13966985.0,3545687.0,10421298.0,11322332.0,-901034.0,211748.0,-689286.0,,-689286.0,,,
731194,490045,UVA HEALTH PRINCE WILLIAM MEDICAL,8700 SUDLEY ROAD,MANASSAS,VA,20110,PRINCE WILLIAM,47894.0,U,STH,1,10,1/1/2022,6/30/2022,702.49,,,3743.0,1443.0,14955.0,104.0,18824.0,,754.0,509.0,3154.0,134.0,,3261.0,1443.0,10845.0,83.0,15023.0,,754.0,509.0,3154.0,825968.0,9198720.0,3298873.0,4583655.0,36525989.0,57439880.0,4618316.0,88287317.0,143076155.0,187371656.0,330447811.0,6301607.0,,36380588.0,3991405.0,,,75746132.0,-43158254.0,1150926.0,68874662.0,39252708.0,114442786.0,158827935.0,8810289.0,26904625.0,47447573.0,,,3139917.0,3139917.0,50587490.0,108240445.0,158827935.0,,302796.0,0.1447,3311721.0,,143159286.0,187470193.0,330629479.0,234462235.0,96167244.0,93965869.0,2201375.0,2405491.0,4606866.0,,4606866.0,0.267175,2413585.0,
731198,490144,UVA HEALTH HAYMARKET MEDICAL CENTER,15225 HEALTHCOTE BOULEVARD,HAYMARKET,VA,20169,PRINCE WILLIAM,47894.0,U,STH,1,10,1/1/2022,6/30/2022,234.1,,,1759.0,29.0,3846.0,44.0,7964.0,,502.0,15.0,1084.0,44.0,,1340.0,29.0,2856.0,36.0,6516.0,,502.0,15.0,1084.0,171966.0,2344210.0,669974.0,859058.0,13817087.0,26782669.0,2846827.0,38698051.0,48647599.0,136892621.0,185540220.0,2577409.0,,13817087.0,1839788.0,,,27664458.0,-13850048.0,44767.0,24872925.0,15917635.0,28461891.0,91445727.0,1465398.0,-8537040.0,-3339734.0,,,5456999.0,5456999.0,2117265.0,89328462.0,91445727.0,,,,1570654.0,,48659219.0,136922189.0,185581408.0,138775644.0,46805764.0,40599756.0,6206008.0,161322.0,6367330.0,,6367330.0,0.20857,141226.0,
731199,513027,ENCOMPASS HEALTH REHABILITATION HOSP,3 WESTERN HILLS DRIVE,PARKERSBURG,WV,26105,WOOD,37620.0,U,RH,5,4,1/1/2022,7/31/2022,105.26,,,4758.0,145.0,7256.0,40.0,8480.0,,439.0,13.0,638.0,40.0,,4758.0,145.0,7256.0,40.0,8480.0,,439.0,13.0,638.0,,,-19575.0,-19575.0,4558942.0,4577837.0,134013.0,9199214.0,16489595.0,,16489595.0,1142973.0,,4558942.0,299469.0,,,4076973.0,-1088379.0,,4768395.0,,3416472.0,31885427.0,663807.0,708155.0,2823376.0,,,6656690.0,6656690.0,9480066.0,22405361.0,31885427.0,,,,,,16489596.0,,16489596.0,5342345.0,11147251.0,9136779.0,2010472.0,16632.0,2027104.0,,2027104.0,0.55788,,
731979,673034,ENCOMPASS HEALTH REHABILITATION HOSP,117 VISION PARK BLVD,SHENANDOAH,TX,77384,MONTGOMERY,26420.0,U,RH,5,4,1/1/2022,7/31/2022,155.24,,,7375.0,,10752.0,60.0,12720.0,,612.0,,873.0,60.0,,7375.0,,10752.0,60.0,12720.0,,612.0,,873.0,,,,,7637701.0,8566089.0,517490.0,15109549.0,28803613.0,256.0,28803869.0,1524001.0,,7637701.0,399246.0,,,5672469.0,-1512643.0,,12018489.0,,5073461.0,94802910.0,1283212.0,1470827.0,2940380.0,,,23252078.0,23252078.0,26192458.0,68610452.0,94802910.0,,,,,,28803859.0,,28803859.0,9531867.0,19271992.0,16203790.0,3068202.0,46.0,3068248.0,,3068248.0,,,
732016,110030,PIEDMONT CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,BARTOW,12060.0,U,STH,1,2,10/1/2021,6/30/2022,659.02,2.37,,7646.0,1821.0,30404.0,119.0,32487.0,,1214.0,370.0,5762.0,119.0,,6292.0,869.0,23777.0,98.0,26754.0,,1214.0,370.0,5762.0,10538300.0,492416.0,10609182.0,11597167.0,35726656.0,84248305.0,5316434.0,108852096.0,582232823.0,588572364.0,1170805187.0,6648784.0,,35726656.0,18147625.0,,,36988505.0,,-95179.0,116647250.0,45670163.0,46916422.0,174598023.0,14071984.0,649731.0,55032073.0,,,51575.0,51575.0,55083648.0,119514375.0,174598023.0,,195109.0,0.0653,15188381.0,64395.0,582831655.0,588752921.0,1171584576.0,1047666159.0,123918417.0,119974961.0,3943456.0,2101116.0,6044572.0,,6044572.0,0.092972,10348276.0,4715.0
732529,240063,HEALTHEAST ST JOSEPHS HOSPITAL,45 WEST 10TH STREET,ST PAUL,MN,55102,RAMSEY,33460.0,U,STH,1,2,1/1/2022,6/30/2022,284.72,0.05,,540.0,70.0,2810.0,28.0,5040.0,,32.0,13.0,294.0,28.0,,540.0,70.0,2810.0,28.0,5040.0,,32.0,13.0,294.0,543751.0,175397.0,634652.0,8671749.0,12164765.0,12214023.0,29833.0,23417409.0,28636900.0,2063192.0,30700092.0,3745853.0,,12164765.0,451103.0,,,2517990.0,-6725917.0,-46768.0,-368445.0,,2763237.0,7928829.0,1661543.0,4574631.0,125044284.0,,,2859045.0,2859045.0,127903329.0,-119974500.0,7928829.0,,25272.0,0.388,164632.0,60.0,28646483.0,2121992.0,30768475.0,22284026.0,8484449.0,24378788.0,-15894339.0,11036060.0,-4858279.0,,-4858279.0,0.76278,2114402.0,
